rank,layer,neuron,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
110,30,3843,-0.0024585723876953125,0.0024585723876953125,0.0024585723876953125,0.0009023412130773067,0.0,1.0,2.7246592044830322
111,31,3611,-0.0024566650390625,0.0024566650390625,0.0024566650390625,0.0014021178940311074,0.0,1.0,1.7521101236343384
112,20,5237,0.002452850341796875,0.002452850341796875,0.002452850341796875,0.0013443385250866413,1.0,1.0,1.8245779275894165
113,31,287,0.0024509429931640625,0.0024509429931640625,0.0024509429931640625,0.0010448284447193146,1.0,1.0,2.345785140991211
114,18,11782,-0.002445220947265625,0.002445220947265625,0.002445220947265625,0.001264921622350812,0.0,1.0,1.933100700378418
115,17,9255,-0.0023937225341796875,0.0023937225341796875,0.0023937225341796875,0.0006855081301182508,0.0,1.0,3.4918951988220215
116,15,12099,-0.0023908615112304688,0.0023908615112304688,0.0023908615112304688,0.0020905574783682823,0.0,1.0,1.1436477899551392
117,17,4802,0.0023708343505859375,0.0023708343505859375,0.0023708343505859375,0.001050301594659686,1.0,1.0,2.257289171218872
118,19,900,0.0023670196533203125,0.0023670196533203125,0.0023670196533203125,0.000625944638159126,1.0,1.0,3.7815160751342773
119,28,13790,0.0023651123046875,0.0023651123046875,0.0023651123046875,0.00048553169472143054,1.0,1.0,4.871180057525635
120,14,8131,-0.002361297607421875,0.002361297607421875,0.002361297607421875,0.0016676096711307764,0.0,1.0,1.4159773588180542
121,28,3057,0.0023555755615234375,0.0023555755615234375,0.0023555755615234375,0.0005120618152432144,1.0,1.0,4.600178241729736
122,15,630,-0.0023450851440429688,0.0023450851440429688,0.0023450851440429688,0.0017875578487291932,0.0,1.0,1.311893343925476
123,28,7737,0.0023441314697265625,0.0023441314697265625,0.0023441314697265625,0.0003752923512365669,1.0,1.0,6.246147632598877
124,20,4035,0.00231170654296875,0.00231170654296875,0.00231170654296875,0.0008047112496569753,1.0,1.0,2.872715473175049
125,31,5369,-0.0022983551025390625,0.0022983551025390625,0.0022983551025390625,0.0008680322207510471,0.0,1.0,2.6477763652801514
126,22,9265,-0.002254486083984375,0.002254486083984375,0.002254486083984375,0.0009485718328505754,0.0,1.0,2.376716136932373
127,21,4502,-0.00225067138671875,0.00225067138671875,0.00225067138671875,0.0006560835754498839,0.0,1.0,3.430464506149292
128,31,2153,0.0022487640380859375,0.0022487640380859375,0.0022487640380859375,0.0006404006271623075,1.0,1.0,3.511495590209961
129,31,10715,-0.0022487640380859375,0.0022487640380859375,0.0022487640380859375,0.0005848162109032273,0.0,1.0,3.8452491760253906
130,9,10216,-0.002239227294921875,0.002239227294921875,0.005016326904296875,0.005846141371876001,0.25,0.75,0.3830265402793884
131,17,13031,-0.0022373199462890625,0.0022373199462890625,0.0022373199462890625,0.000918690871912986,0.0,1.0,2.4353349208831787
132,18,9220,-0.002223968505859375,0.002223968505859375,0.002223968505859375,0.0008497360977344215,0.0,1.0,2.617246150970459
133,28,11275,0.0022096633911132812,0.0022096633911132812,0.0022096633911132812,0.0010191075270995498,1.0,1.0,2.168233871459961
134,17,12927,0.002208709716796875,0.002208709716796875,0.002208709716796875,0.000989272492006421,1.0,1.0,2.2326605319976807
135,29,911,0.00220489501953125,0.00220489501953125,0.00220489501953125,0.0011870759772136807,1.0,1.0,1.8574169874191284
136,20,5512,-0.0021915435791015625,0.0021915435791015625,0.0021915435791015625,0.0007428259705193341,0.0,1.0,2.9502785205841064
137,15,5080,0.0021905899047851562,0.0021905899047851562,0.0021905899047851562,0.00199586758390069,1.0,1.0,1.0975627899169922
138,28,10351,0.002185821533203125,0.002185821533203125,0.002185821533203125,0.0003632785810623318,1.0,1.0,6.0169291496276855
139,19,6804,0.0021800994873046875,0.0021800994873046875,0.0021800994873046875,0.000624548178166151,1.0,1.0,3.490682601928711
140,15,5862,-0.0021767616271972656,0.0021767616271972656,0.0021767616271972656,0.0014612515224143863,0.0,1.0,1.4896557331085205
141,17,5191,-0.0021686553955078125,0.0021686553955078125,0.0021686553955078125,0.0009031149675138295,0.0,1.0,2.401305913925171
142,18,7152,-0.0021495819091796875,0.0021495819091796875,0.0021495819091796875,0.0008558938861824572,0.0,1.0,2.511505126953125
143,18,290,0.002148151397705078,0.002148151397705078,0.002148151397705078,0.001162499189376831,1.0,1.0,1.8478734493255615
144,14,5718,-0.0021429061889648438,0.0021429061889648438,0.0021429061889648438,0.001116743660531938,0.0,1.0,1.9188882112503052
145,19,14046,0.0021429061889648438,0.0021429061889648438,0.0021429061889648438,0.001389860175549984,1.0,1.0,1.5418142080307007
146,16,9495,-0.0021381378173828125,0.0021381378173828125,0.0021381378173828125,0.0007361945463344455,0.0,1.0,2.904310941696167
147,31,5603,0.002132415771484375,0.002132415771484375,0.002132415771484375,0.0011278802994638681,1.0,1.0,1.890640139579773
148,25,5676,-0.0021266937255859375,0.0021266937255859375,0.0021266937255859375,0.0005964941228739917,0.0,1.0,3.565322160720825
149,31,10014,0.002101898193359375,0.002101898193359375,0.002101898193359375,0.0006075197597965598,1.0,1.0,3.4598021507263184
150,14,12563,0.0020999908447265625,0.0020999908447265625,0.0020999908447265625,0.0004254499217495322,1.0,1.0,4.935929775238037
151,29,8508,0.00209808349609375,0.00209808349609375,0.00209808349609375,0.00048762516235001385,1.0,1.0,4.302656173706055
152,14,3917,-0.00209808349609375,0.00209808349609375,0.003570556640625,0.0031496465671807528,0.25,0.75,0.6661329865455627
153,15,10757,0.0020771026611328125,0.0020771026611328125,0.0026378631591796875,0.0018679117783904076,0.75,0.75,1.1119918823242188
154,19,11716,-0.0020732879638671875,0.0020732879638671875,0.0020732879638671875,0.000498205132316798,0.0,1.0,4.161514759063721
155,24,9569,0.002071380615234375,0.002071380615234375,0.002071380615234375,0.0010002729250118136,1.0,1.0,2.070815324783325
