rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
51,22,7981,supports_refusal,0.06262359768152237,0.06262359768152237,0.06262359768152237,0.031423136591911316,1.0,1.0
52,31,3730,supports_refusal,0.06172332912683487,0.06172332912683487,0.06172332912683487,0.03830960392951965,1.0,1.0
53,29,12657,suppresses_refusal,-0.06088867038488388,0.06088867038488388,0.06088867038488388,0.02957197278738022,0.0,1.0
54,31,10176,supports_refusal,0.060701750218868256,0.060701750218868256,0.060701750218868256,0.02014068327844143,1.0,1.0
55,31,287,suppresses_refusal,-0.060550689697265625,0.060550689697265625,0.060550689697265625,0.02503640204668045,0.0,1.0
56,18,12866,supports_refusal,0.060240935534238815,0.060240935534238815,0.060240935534238815,0.03148186206817627,1.0,1.0
57,0,7182,supports_refusal,0.06012573093175888,0.06012573093175888,0.06012573093175888,0.051794204860925674,1.0,1.0
58,30,11050,supports_refusal,0.06009521335363388,0.06009521335363388,0.06564941257238388,0.03800716623663902,0.8500000238418579,0.8500000238418579
59,30,5831,suppresses_refusal,-0.060033418238162994,0.060033418238162994,0.060033418238162994,0.02299606241285801,0.0,1.0
60,31,12950,suppresses_refusal,-0.05906219407916069,0.05906219407916069,0.05991058424115181,0.032009657472372055,0.02500000037252903,0.9750000238418579
61,31,7281,supports_refusal,0.05898437649011612,0.05898437649011612,0.06130676344037056,0.034963320940732956,0.949999988079071,0.949999988079071
62,31,5178,supports_refusal,0.05864868313074112,0.05864868313074112,0.05864868313074112,0.028201984241604805,1.0,1.0
63,23,12220,supports_refusal,0.05822906643152237,0.05822906643152237,0.05822906643152237,0.026786362752318382,1.0,1.0
64,3,2145,supports_refusal,0.057764433324337006,0.057764433324337006,0.059656523168087006,0.04570651426911354,0.949999988079071,0.949999988079071
65,14,3917,supports_refusal,0.05663871765136719,0.05663871765136719,0.05669135972857475,0.03821724280714989,0.9750000238418579,0.9750000238418579
