rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
101,31,10492,suppresses_refusal,-0.0537109375,0.0537109375,0.0537109375,0.0,0.0,1.0
102,30,10321,suppresses_refusal,-0.0537109375,0.0537109375,0.0537109375,0.0,0.0,1.0
103,31,10644,supports_refusal,0.053466796875,0.053466796875,0.053466796875,0.0,1.0,1.0
104,12,2413,supports_refusal,0.05322265625,0.05322265625,0.05322265625,0.0,1.0,1.0
105,31,1549,supports_refusal,0.052978515625,0.052978515625,0.052978515625,0.0,1.0,1.0
106,11,11321,suppresses_refusal,-0.052734375,0.052734375,0.052734375,0.0,0.0,1.0
107,31,416,supports_refusal,0.052490234375,0.052490234375,0.052490234375,0.0,1.0,1.0
108,27,8839,suppresses_refusal,-0.05224609375,0.05224609375,0.05224609375,0.0,0.0,1.0
109,30,13393,supports_refusal,0.05224609375,0.05224609375,0.05224609375,0.0,1.0,1.0
110,21,9695,suppresses_refusal,-0.052001953125,0.052001953125,0.052001953125,0.0,0.0,1.0
111,31,10459,supports_refusal,0.0517578125,0.0517578125,0.0517578125,0.0,1.0,1.0
112,30,2653,suppresses_refusal,-0.0517578125,0.0517578125,0.0517578125,0.0,0.0,1.0
113,31,29,supports_refusal,0.051513671875,0.051513671875,0.051513671875,0.0,1.0,1.0
114,31,5099,supports_refusal,0.051513671875,0.051513671875,0.051513671875,0.0,1.0,1.0
115,29,8656,supports_refusal,0.051025390625,0.051025390625,0.051025390625,0.0,1.0,1.0
116,30,12125,supports_refusal,0.05078125,0.05078125,0.05078125,0.0,1.0,1.0
117,27,3135,supports_refusal,0.05078125,0.05078125,0.05078125,0.0,1.0,1.0
118,31,2305,supports_refusal,0.050537109375,0.050537109375,0.050537109375,0.0,1.0,1.0
119,28,1447,supports_refusal,0.050048828125,0.050048828125,0.050048828125,0.0,1.0,1.0
120,29,14120,suppresses_refusal,-0.0498046875,0.0498046875,0.0498046875,0.0,0.0,1.0
121,31,8711,supports_refusal,0.049560546875,0.049560546875,0.049560546875,0.0,1.0,1.0
122,30,8639,suppresses_refusal,-0.048583984375,0.048583984375,0.048583984375,0.0,0.0,1.0
123,21,10970,supports_refusal,0.048583984375,0.048583984375,0.048583984375,0.0,1.0,1.0
124,20,3972,supports_refusal,0.0478515625,0.0478515625,0.0478515625,0.0,1.0,1.0
