rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency
146,31,10463,supports_refusal,0.0406494140625,0.0406494140625,0.0406494140625,0.0015869140625,1.0,1.0
147,28,2761,supports_refusal,0.0404052734375,0.0404052734375,0.0404052734375,0.0057373046875,1.0,1.0
148,29,3746,supports_refusal,0.04034423828125,0.04034423828125,0.04034423828125,0.01849365234375,1.0,1.0
149,27,8839,suppresses_refusal,-0.0401611328125,0.0401611328125,0.0401611328125,0.0120849609375,0.0,1.0
150,30,9872,supports_refusal,0.039794921875,0.039794921875,0.039794921875,0.00439453125,1.0,1.0
151,16,1241,supports_refusal,0.03973388671875,0.03973388671875,0.03973388671875,0.01715087890625,1.0,1.0
152,31,1549,supports_refusal,0.03955078125,0.03955078125,0.03955078125,0.013427734375,1.0,1.0
153,31,8359,suppresses_refusal,-0.03936767578125,0.03936767578125,0.03936767578125,0.01824951171875,0.0,1.0
154,27,11991,supports_refusal,0.03887939453125,0.03887939453125,0.03887939453125,0.01458740234375,1.0,1.0
155,30,7146,suppresses_refusal,-0.038818359375,0.038818359375,0.038818359375,0.006591796875,0.0,1.0
156,29,12657,suppresses_refusal,-0.03863525390625,0.03863525390625,0.03863525390625,0.02386474609375,0.0,1.0
157,16,13461,supports_refusal,0.03839111328125,0.03839111328125,0.03839111328125,0.01556396484375,1.0,1.0
158,15,13528,supports_refusal,0.0380859375,0.0380859375,0.0380859375,0.004150390625,1.0,1.0
159,31,6650,suppresses_refusal,-0.0380859375,0.0380859375,0.0380859375,0.0048828125,0.0,1.0
160,1,2427,supports_refusal,0.037841796875,0.037841796875,0.037841796875,0.010498046875,1.0,1.0
161,30,6989,supports_refusal,0.0372467041015625,0.0372467041015625,0.0423431396484375,0.0423431396484375,0.5,0.5
162,0,12222,suppresses_refusal,-0.037200927734375,0.037200927734375,0.037200927734375,0.029205322265625,0.0,1.0
163,12,2413,supports_refusal,0.03704833984375,0.03704833984375,0.03704833984375,0.01617431640625,1.0,1.0
164,31,5178,supports_refusal,0.03704833984375,0.03704833984375,0.03704833984375,0.01007080078125,1.0,1.0
165,30,10321,suppresses_refusal,-0.0369873046875,0.0369873046875,0.0369873046875,0.0167236328125,0.0,1.0
166,31,11638,suppresses_refusal,-0.0364990234375,0.0364990234375,0.0364990234375,0.0047607421875,0.0,1.0
167,31,5535,suppresses_refusal,-0.0360107421875,0.0360107421875,0.0360107421875,0.0040283203125,0.0,1.0
168,28,1447,supports_refusal,0.0360107421875,0.0360107421875,0.0360107421875,0.0140380859375,1.0,1.0
169,31,12358,supports_refusal,0.035888671875,0.035888671875,0.035888671875,0.004638671875,1.0,1.0
170,31,3685,suppresses_refusal,-0.035888671875,0.035888671875,0.035888671875,0.00732421875,0.0,1.0
171,29,9228,suppresses_refusal,-0.0357666015625,0.0357666015625,0.0357666015625,0.0064697265625,0.0,1.0
172,31,2750,suppresses_refusal,-0.0357666015625,0.0357666015625,0.0357666015625,0.0093994140625,0.0,1.0
173,31,9854,suppresses_refusal,-0.03564453125,0.03564453125,0.03564453125,0.0009765625,0.0,1.0
174,27,1871,suppresses_refusal,-0.0355224609375,0.0355224609375,0.0355224609375,0.0279541015625,0.0,1.0
175,29,12858,suppresses_refusal,-0.03546142578125,0.03546142578125,0.03546142578125,0.00848388671875,0.0,1.0
