rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_g,positive_fraction,sign_consistency,snr
183,28,2570,suppresses_cannot,-0.00023046135902404785,0.00023046135902404785,0.00023046135902404785,7.289623317774385e-05,0.0,1.0,3.161498785018921
184,22,5804,suppresses_cannot,-0.0002304166555404663,0.0002304166555404663,0.0002304166555404663,7.414248102577403e-05,0.0,1.0,3.107754945755005
187,30,669,suppresses_cannot,-0.0002279728651046753,0.0002279728651046753,0.0002279728651046753,0.00016470544505864382,0.0,1.0,1.3841246366500854
189,14,1559,suppresses_cannot,-0.0002270042896270752,0.0002270042896270752,0.0003052651882171631,0.000235898929531686,0.25,0.75,0.9622946977615356
191,21,8760,suppresses_cannot,-0.00022643804550170898,0.00022643804550170898,0.00022643804550170898,0.00012310569582041353,0.0,1.0,1.839379072189331
193,24,5048,suppresses_cannot,-0.00022608041763305664,0.00022608041763305664,0.00022608041763305664,9.81382981990464e-05,0.0,1.0,2.303692102432251
196,14,5718,suppresses_cannot,-0.00022445619106292725,0.00022445619106292725,0.00022445619106292725,0.00011749820259865373,0.0,1.0,1.9102946519851685
199,6,8252,suppresses_cannot,-0.00022260844707489014,0.00022260844707489014,0.00023381412029266357,0.00039627740625292063,0.5,0.5,0.5617490410804749
203,26,2589,suppresses_cannot,-0.00022137165069580078,0.00022137165069580078,0.00022137165069580078,1.8570841348264366e-05,0.0,1.0,11.920387268066406
206,24,8362,suppresses_cannot,-0.00022079050540924072,0.00022079050540924072,0.00022079050540924072,0.00010128955182153732,0.0,1.0,2.179795503616333
207,31,11861,suppresses_cannot,-0.00022071599960327148,0.00022071599960327148,0.00022071599960327148,7.15113928890787e-05,0.0,1.0,3.0864453315734863
208,30,2226,suppresses_cannot,-0.0002206861972808838,0.0002206861972808838,0.0002206861972808838,4.625315705197863e-05,0.0,1.0,4.771267890930176
