rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_g,positive_fraction,sign_consistency,snr
92,16,12860,supports_cannot,0.0003059506416320801,0.0003059506416320801,0.0003059506416320801,0.00013619413948617876,1.0,1.0,2.2464303970336914
93,28,7137,supports_cannot,0.0002987384796142578,0.0002987384796142578,0.0002987384796142578,3.5274671972729266e-05,1.0,1.0,8.46892261505127
94,17,4802,supports_cannot,0.00029584765434265137,0.00029584765434265137,0.00029584765434265137,0.00016121086082421243,1.0,1.0,1.8351595401763916
95,31,12446,supports_cannot,0.00029546022415161133,0.00029546022415161133,0.00029546022415161133,3.182034197379835e-05,1.0,1.0,9.285262107849121
96,23,4769,supports_cannot,0.0002935826778411865,0.0002935826778411865,0.0002935826778411865,8.439955854555592e-05,1.0,1.0,3.4784858226776123
99,13,13879,supports_cannot,0.0002912282943725586,0.0002912282943725586,0.0005549192428588867,0.0006772399647161365,0.75,0.75,0.43002229928970337
100,31,7267,supports_cannot,0.0002910494804382324,0.0002910494804382324,0.0002910494804382324,0.00010225522419204935,1.0,1.0,2.846304178237915
101,28,3057,supports_cannot,0.0002899169921875,0.0002899169921875,0.0002899169921875,5.5479085858678445e-05,1.0,1.0,5.225698947906494
103,15,11853,supports_cannot,0.00028818845748901367,0.00028818845748901367,0.00028818845748901367,0.00013876846060156822,1.0,1.0,2.0767576694488525
106,2,4786,supports_cannot,0.0002845078706741333,0.0002845078706741333,0.0002983659505844116,0.0002498355752322823,0.75,0.75,1.1387804746627808
107,31,10850,supports_cannot,0.00028076767921447754,0.00028076767921447754,0.00028076767921447754,9.811900235945359e-05,1.0,1.0,2.861501455307007
108,30,7545,supports_cannot,0.00028073787689208984,0.00028073787689208984,0.00028073787689208984,9.735542698763311e-05,1.0,1.0,2.883638620376587
110,28,9628,supports_cannot,0.00027936697006225586,0.00027936697006225586,0.00027936697006225586,7.233565702335909e-05,1.0,1.0,3.8620920181274414
112,28,11275,supports_cannot,0.00027629733085632324,0.00027629733085632324,0.00027629733085632324,0.00014309953257907182,1.0,1.0,1.9308052062988281
114,23,1498,supports_cannot,0.00027501583099365234,0.00027501583099365234,0.00027501583099365234,6.973193376325071e-05,1.0,1.0,3.9439008235931396
116,20,5237,supports_cannot,0.0002743452787399292,0.0002743452787399292,0.0002743452787399292,0.00016359807341359556,1.0,1.0,1.6769468784332275
118,24,9569,supports_cannot,0.0002693682909011841,0.0002693682909011841,0.0002693682909011841,0.00013525380927603692,1.0,1.0,1.9915763139724731
121,19,14046,supports_cannot,0.00026804208755493164,0.00026804208755493164,0.00026804208755493164,0.0001736164267640561,1.0,1.0,1.5438750982284546
123,19,900,supports_cannot,0.0002669692039489746,0.0002669692039489746,0.0002669692039489746,5.766757749370299e-05,1.0,1.0,4.629450798034668
124,29,911,supports_cannot,0.00026676058769226074,0.00026676058769226074,0.00026676058769226074,0.00014619468129239976,1.0,1.0,1.8246941566467285
125,17,12927,supports_cannot,0.00026601552963256836,0.00026601552963256836,0.00026601552963256836,0.00012309374869801104,1.0,1.0,2.161080837249756
126,18,3876,supports_cannot,0.0002658665180206299,0.0002658665180206299,0.0002658665180206299,3.907541395165026e-05,1.0,1.0,6.803933620452881
129,15,5080,supports_cannot,0.00026363134384155273,0.00026363134384155273,0.00026363134384155273,0.00024666922399774194,1.0,1.0,1.0687646865844727
130,28,7737,supports_cannot,0.00026276707649230957,0.00026276707649230957,0.00026276707649230957,3.8924925320316106e-05,1.0,1.0,6.750612258911133
132,14,12563,supports_cannot,0.00026166439056396484,0.00026166439056396484,0.00026166439056396484,7.10333843016997e-05,1.0,1.0,3.6836819648742676
133,9,592,supports_cannot,0.00026138126850128174,0.00026138126850128174,0.00026331841945648193,0.00036409319727681577,0.75,0.75,0.717896580696106
136,28,13790,supports_cannot,0.0002588927745819092,0.0002588927745819092,0.0002588927745819092,6.689544534310699e-05,1.0,1.0,3.8701107501983643
138,26,11941,supports_cannot,0.0002574622631072998,0.0002574622631072998,0.0002707540988922119,0.00019329502538312227,0.75,0.75,1.3319653272628784
140,31,287,supports_cannot,0.0002563297748565674,0.0002563297748565674,0.0002563297748565674,0.00010486157407285646,1.0,1.0,2.444458484649658
141,31,2153,supports_cannot,0.0002560913562774658,0.0002560913562774658,0.0002560913562774658,8.286659431178123e-05,1.0,1.0,3.090405225753784
146,30,3382,supports_cannot,0.00025340914726257324,0.00025340914726257324,0.00025340914726257324,0.00016795253031887114,1.0,1.0,1.5088140964508057
147,31,5603,supports_cannot,0.0002533644437789917,0.0002533644437789917,0.0002533644437789917,0.0001443138171453029,1.0,1.0,1.755649209022522
151,23,9380,supports_cannot,0.00025226175785064697,0.00025226175785064697,0.00025226175785064697,0.00013385858619585633,1.0,1.0,1.884539246559143
153,19,6804,supports_cannot,0.00025078654289245605,0.00025078654289245605,0.00025078654289245605,7.607777661178261e-05,1.0,1.0,3.2964494228363037
154,15,10757,supports_cannot,0.0002498924732208252,0.0002498924732208252,0.00032851099967956543,0.00024214110453613102,0.75,0.75,1.0320117473602295
155,17,6950,supports_cannot,0.0002485811710357666,0.0002485811710357666,0.0002485811710357666,8.739989425521344e-05,1.0,1.0,2.844181537628174
156,29,8508,supports_cannot,0.0002484321594238281,0.0002484321594238281,0.0002484321594238281,6.961148756090552e-05,1.0,1.0,3.568838596343994
158,28,10351,supports_cannot,0.00024449825286865234,0.00024449825286865234,0.00024449825286865234,5.707642048946582e-05,1.0,1.0,4.283699989318848
160,12,6358,supports_cannot,0.00024390220642089844,0.00024390220642089844,0.00024390220642089844,0.000101352998171933,1.0,1.0,2.4064626693725586
162,14,7642,supports_cannot,0.00024271011352539062,0.00024271011352539062,0.00024271011352539062,0.00013732234947383404,1.0,1.0,1.7674480676651
165,18,4164,supports_cannot,0.00024113059043884277,0.00024113059043884277,0.00024113059043884277,2.4515033146599308e-05,1.0,1.0,9.836029052734375
167,30,2049,supports_cannot,0.00024005770683288574,0.00024005770683288574,0.00024005770683288574,4.512857776717283e-05,1.0,1.0,5.319416522979736
171,20,4035,supports_cannot,0.00023896992206573486,0.00023896992206573486,0.00023896992206573486,0.00010739372373791412,1.0,1.0,2.2251758575439453
172,25,11921,supports_cannot,0.00023728609085083008,0.00023728609085083008,0.00023728609085083008,0.00016089610289782286,1.0,1.0,1.474778413772583
