rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
45,16,12528,supports_cannot,0.0046694944612681,0.0046694944612681,0.0046694944612681,0.0043709403835237,1.0,1.0,1.0683043003082275
46,28,4130,supports_cannot,0.0046668886207044,0.0046668886207044,0.0046668886207044,0.0040627820417284,1.0,1.0,1.1486928462982178
47,18,7148,supports_cannot,0.0046309884637594,0.0046309884637594,0.0048540499992668,0.0065728211775422,0.938144326210022,0.938144326210022,0.7045662999153137
48,10,4789,supports_cannot,0.0045893169008195,0.0045893169008195,0.0061205071397125,0.0147221712395548,0.6804123520851135,0.6804123520851135,0.3117282688617706
50,18,7417,supports_cannot,0.0044996961951255,0.0044996961951255,0.0058947172947227,0.0116701945662498,0.623711347579956,0.623711347579956,0.3855716586112976
51,26,529,supports_cannot,0.0044981418177485,0.0044981418177485,0.0045251999981701,0.0041224011220037,0.969072163105011,0.969072163105011,1.0911461114883425
55,27,8140,supports_cannot,0.0042446851730346,0.0042446851730346,0.0043523153290152,0.0049564861692488,0.9432989954948424,0.9432989954948424,0.8563899993896484
57,10,11570,supports_cannot,0.004225892946124,0.004225892946124,0.0054991859942674,0.0094592310488224,0.8814433217048645,0.8814433217048645,0.4467480480670929
58,16,11277,supports_cannot,0.0042131561785936,0.0042131561785936,0.0042131561785936,0.0032597281970083,1.0,1.0,1.2924869060516355
60,20,1168,supports_cannot,0.0041673798114061,0.0041673798114061,0.0041673798114061,0.0026877734344452,1.0,1.0,1.550495147705078
63,13,13879,supports_cannot,0.0041262242011725,0.0041262242011725,0.0049835676327347,0.009242070838809,0.8247422575950623,0.8247422575950623,0.4464609920978546
64,19,8952,supports_cannot,0.0041157435625791,0.0041157435625791,0.0041157435625791,0.0025638074148446,1.0,1.0,1.6053247451782229
67,31,11999,supports_cannot,0.0040428908541798,0.0040428908541798,0.0040428908541798,0.0040587373077869,1.0,1.0,0.9960957169532776
69,31,12446,supports_cannot,0.0039418209344148,0.0039418209344148,0.0039418209344148,0.0039406227879226,1.0,1.0,1.000304102897644
71,31,8591,supports_cannot,0.0038991319015622,0.0038991319015622,0.0038991319015622,0.0037556332536041,1.0,1.0,1.0382089614868164
