rank,layer,neuron,direction,mean_g,abs_mean_g,mean_abs_g,std_g,positive_fraction,sign_consistency,snr
116,15,630,suppresses_cannot,-0.0029855265747755,0.0029855265747755,0.0029855265747755,0.0029698198195546,0.0,1.0,1.00528883934021
117,29,90,supports_cannot,0.0029796718154102,0.0029796718154102,0.0029796718154102,0.0028358043637126,1.0,1.0,1.0507324934005735
118,15,6918,supports_cannot,0.002972878050059,0.002972878050059,0.002972878050059,0.0034248542506247,1.0,1.0,0.8680305480957031
119,31,5369,suppresses_cannot,-0.0029663105960935,0.0029663105960935,0.0029663105960935,0.0025895291473716,0.0,1.0,1.145501971244812
120,23,12181,supports_cannot,0.0029413606971502,0.0029413606971502,0.0030040747951716,0.0032209628261625,0.9329897165298462,0.9329897165298462,0.9131929874420166
121,16,3884,supports_cannot,0.0029164049774408,0.0029164049774408,0.0029164049774408,0.0026011031586676,1.0,1.0,1.12121844291687
122,23,1498,supports_cannot,0.0028977345209568,0.0028977345209568,0.0028977345209568,0.0022860160097479,1.0,1.0,1.2675914764404297
123,22,9265,suppresses_cannot,-0.0028693701606243,0.0028693701606243,0.0028693701606243,0.0027930738870054,0.0,1.0,1.0273162126541138
124,15,1026,suppresses_cannot,-0.0028661931864917,0.0028661931864917,0.0028693072963505,0.0108534023165702,0.0154639175161719,0.984536111354828,0.2640824615955353
125,14,12563,supports_cannot,0.0028493183199316,0.0028493183199316,0.0028557679615914,0.0026548393070697,0.9948453903198242,0.9948453903198242,1.0732545852661133
126,18,9102,suppresses_cannot,-0.0028450635727494,0.0028450635727494,0.0028550133574754,0.0030782460235059,0.0051546390168368,0.9948453903198242,0.9242482781410216
127,25,12935,suppresses_cannot,-0.0028367387130856,0.0028367387130856,0.0028367387130856,0.0019873597193509,0.0,1.0,1.427390694618225
128,20,8323,supports_cannot,0.0028329633641988,0.0028329633641988,0.0028329633641988,0.0026799186598509,1.0,1.0,1.057107925415039
129,15,8697,suppresses_cannot,-0.0028179679065942,0.0028179679065942,0.0030485750176012,0.004028181079775,0.0721649453043937,0.9278350472450256,0.6995633840560913
130,15,1832,suppresses_cannot,-0.00279047107324,0.00279047107324,0.00279047107324,0.0028966106474399,0.0,1.0,0.9633573293685912
131,15,5862,suppresses_cannot,-0.0027885080780833,0.0027885080780833,0.0028725494630634,0.0028368241619318,0.041237112134695,0.9587628841400146,0.982968270778656
132,27,4251,suppresses_cannot,-0.0027844242285937,0.0027844242285937,0.0027844242285937,0.0027649868279695,0.0,1.0,1.0070298910140991
133,28,10351,supports_cannot,0.0027824973221868,0.0027824973221868,0.0027824973221868,0.0020511036273092,1.0,1.0,1.3565853834152222
134,17,9255,suppresses_cannot,-0.002780761802569,0.002780761802569,0.002780761802569,0.0020909109152853,0.0,1.0,1.3299283981323242
135,27,1686,supports_cannot,0.0027744057588279,0.0027744057588279,0.0027744057588279,0.0021151737309992,1.0,1.0,1.311668038368225
136,28,7137,supports_cannot,0.0027697160840034,0.0027697160840034,0.0027697160840034,0.0016999575309455,1.0,1.0,1.629285454750061
137,31,5178,supports_cannot,0.0027636892627924,0.0027636892627924,0.0027636892627924,0.0028942206408828,1.0,1.0,0.9548993110656738
138,29,9595,suppresses_cannot,-0.002743691438809,0.002743691438809,0.002743691438809,0.0024058520793914,0.0,1.0,1.1404240131378174
139,23,4769,supports_cannot,0.0027423740830272,0.0027423740830272,0.0027423740830272,0.0021103136241436,1.0,1.0,1.2995102405548096
140,31,287,supports_cannot,0.0027376990765333,0.0027376990765333,0.0027434015646576,0.0018696943297982,0.9948453903198242,0.9948453903198242,1.4642494916915894
141,30,12336,suppresses_cannot,-0.0027339484076946,0.0027339484076946,0.0027339484076946,0.0020461659878492,0.0,1.0,1.336132287979126
142,18,3261,suppresses_cannot,-0.0027243446093052,0.0027243446093052,0.0030537764541804,0.0054476326331496,0.190721645951271,0.8092783689498901,0.5000969767570496
143,31,10716,suppresses_cannot,-0.0027216931339353,0.0027216931339353,0.0027216931339353,0.0033312027808278,0.0,1.0,0.817030131816864
144,22,3766,suppresses_cannot,-0.0027071807999163,0.0027071807999163,0.0027458881959319,0.002762682037428,0.0309278350323438,0.969072163105011,0.979910373687744
145,14,12421,suppresses_cannot,-0.0027071433141827,0.0027071433141827,0.0027080234140157,0.0041027329862117,0.0051546390168368,0.9948453903198242,0.6598390340805054
146,25,12046,supports_cannot,0.0026974924840033,0.0026974924840033,0.0026974924840033,0.0031020292080938,1.0,1.0,0.869589626789093
147,18,9220,suppresses_cannot,-0.0026769589167088,0.0026769589167088,0.0026769589167088,0.0021262771915644,0.0,1.0,1.2589887380599976
148,31,10850,supports_cannot,0.0026676238048821,0.0026676238048821,0.0026676238048821,0.0020779855549335,1.0,1.0,1.2837547063827517
149,16,11992,supports_cannot,0.002658630721271,0.002658630721271,0.0027253204025328,0.0053624659776687,0.8865979313850403,0.8865979313850403,0.4957850873470306
150,31,7267,supports_cannot,0.0026559855323284,0.0026559855323284,0.0028219739906489,0.0027324720285832,0.9793814420700072,0.9793814420700072,0.9720082879066468
151,19,12151,supports_cannot,0.0026555676013231,0.0026555676013231,0.0027123948093503,0.001873112283647,0.984536111354828,0.984536111354828,1.4177300930023191
152,30,1754,supports_cannot,0.0026523845735937,0.0026523845735937,0.0026523845735937,0.0019676384981721,1.0,1.0,1.3480039834976196
153,29,10790,suppresses_cannot,-0.0026497398503124,0.0026497398503124,0.0026497398503124,0.0019284195732325,0.0,1.0,1.3740473985671997
154,29,841,suppresses_cannot,-0.0026413337327539,0.0026413337327539,0.0027786628343164,0.0023509745951741,0.0154639175161719,0.984536111354828,1.1235058307647705
155,28,6596,suppresses_cannot,-0.0026286311913281,0.0026286311913281,0.0026286311913281,0.0024875176604837,0.0,1.0,1.0567286014556885
156,1,2427,supports_cannot,0.0026281450409442,0.0026281450409442,0.0028350555803626,0.0045985211618244,0.907216489315033,0.907216489315033,0.5715196132659912
157,31,5441,suppresses_cannot,-0.0026224569883197,0.0026224569883197,0.0026224569883197,0.0023205270990729,0.0,1.0,1.130112648010254
158,31,10459,supports_cannot,0.0026216604746878,0.0026216604746878,0.0026216604746878,0.0031893262639641,1.0,1.0,0.8220107555389404
159,15,8354,suppresses_cannot,-0.0026164343580603,0.0026164343580603,0.0027583143673837,0.0073181423358619,0.2010309249162674,0.7989690899848938,0.3575271070003509
160,14,1559,suppresses_cannot,-0.0026161633431911,0.0026161633431911,0.0028288203757256,0.0032534268684685,0.0618556700646877,0.938144326210022,0.8041254281997681
161,20,88,supports_cannot,0.002614306518808,0.002614306518808,0.002614306518808,0.0021608143579214,1.0,1.0,1.2098709344863892
162,31,124,suppresses_cannot,-0.00260770926252,0.00260770926252,0.00260770926252,0.0021721203811466,0.0,1.0,1.2005362510681152
163,31,10014,supports_cannot,0.0026041674427688,0.0026041674427688,0.0026041674427688,0.0023752690758556,1.0,1.0,1.096367359161377
164,19,10082,supports_cannot,0.0025899314787238,0.0025899314787238,0.0026462930254638,0.0038727899082005,0.9329897165298462,0.9329897165298462,0.6687508225440979
165,17,12927,supports_cannot,0.0025743388105183,0.0025743388105183,0.0026058198418468,0.0044740973971784,0.9793814420700072,0.9793814420700072,0.5753872990608215
166,31,11861,suppresses_cannot,-0.0025739276316016,0.0025739276316016,0.0025739276316016,0.0022991632577031,0.0,1.0,1.1195062398910522
167,23,5722,suppresses_cannot,-0.0025662686675786,0.0025662686675786,0.0025662686675786,0.0023659376893192,0.0,1.0,1.084672927856445
168,29,8508,supports_cannot,0.0025577249471098,0.0025577249471098,0.0025577249471098,0.0021831183694303,1.0,1.0,1.1715924739837646
169,26,9692,suppresses_cannot,-0.002551648998633,0.002551648998633,0.002551648998633,0.0025783281307667,0.0,1.0,0.9896525740623474
170,15,4768,suppresses_cannot,-0.002546552568674,0.002546552568674,0.0028021642938256,0.0044981059618294,0.1443298906087875,0.8556700944900513,0.5661388635635376
171,19,6804,supports_cannot,0.0025394479744136,0.0025394479744136,0.0025394479744136,0.0022397458087652,1.0,1.0,1.1338107585906982
172,20,4035,supports_cannot,0.0025336386170238,0.0025336386170238,0.0025420421734452,0.0026722659822553,0.9896907210350036,0.9896907210350036,0.9481236934661864
173,18,6431,supports_cannot,0.0025189095176756,0.0025189095176756,0.0025189095176756,0.0023393761366605,1.0,1.0,1.0767440795898438
174,31,7450,supports_cannot,0.0025135118048638,0.0025135118048638,0.0025135118048638,0.0027633744757622,1.0,1.0,0.9095805883407592
175,19,6569,suppresses_cannot,-0.0025101138744503,0.0025101138744503,0.0025103031657636,0.0026484087575227,0.0051546390168368,0.9948453903198242,0.9477819204330444
176,16,12860,supports_cannot,0.002489419421181,0.002489419421181,0.0025318430270999,0.0024660029448568,0.984536111354828,0.984536111354828,1.009495735168457
177,15,13318,suppresses_cannot,-0.0024801432155072,0.0024801432155072,0.0024856096133589,0.0022167204879224,0.0051546390168368,0.9948453903198242,1.118834376335144
178,24,8765,supports_cannot,0.0024584224447607,0.0024584224447607,0.0024584224447607,0.0029247649945318,1.0,1.0,0.8405538201332092
179,29,911,supports_cannot,0.002455927664414,0.002455927664414,0.002455927664414,0.0024525264743715,1.0,1.0,1.0013867616653442
180,13,2776,suppresses_cannot,-0.0024365752469748,0.0024365752469748,0.0024419212713837,0.0030372065957635,0.0309278350323438,0.969072163105011,0.8022421598434448
