rank,layer,neuron,direction,mean_ig,abs_mean_ig,mean_abs_ig,std_ig,positive_fraction,sign_consistency,snr
69,30,11970,suppresses_cannot,-0.0004195595392957,0.0004195595392957,0.0004195595392957,0.0003373279178049,0.0,1.0,1.2437735795974731
70,10,1084,suppresses_cannot,-0.000414863374317,0.000414863374317,0.0006301627145148,0.0007794640259817,0.1701030880212783,0.8298969268798828,0.5322418212890625
72,20,9623,suppresses_cannot,-0.0004101441591046,0.0004101441591046,0.0004107131680939,0.0003473305550869,0.0051546390168368,0.9948453903198242,1.1808468103408811
75,28,4074,suppresses_cannot,-0.000404268503189,0.000404268503189,0.0004044350353069,0.0004122731625102,0.0051546390168368,0.9948453903198242,0.9805840849876404
79,28,6033,suppresses_cannot,-0.0003900746232829,0.0003900746232829,0.0003906970669049,0.0003635245084296,0.0103092780336737,0.9896907210350036,1.0730352401733398
80,18,3031,suppresses_cannot,-0.0003900362062267,0.0003900362062267,0.0003900362062267,0.0004544304392766,0.0,1.0,0.858296811580658
81,27,8839,suppresses_cannot,-0.0003858276177197,0.0003858276177197,0.0003858276177197,0.0003789219772443,0.0,1.0,1.0182244777679443
83,31,10075,suppresses_cannot,-0.000377919874154,0.000377919874154,0.000377919874154,0.0003550874534994,0.0,1.0,1.0643008947372437
85,31,7944,suppresses_cannot,-0.0003748904855456,0.0003748904855456,0.0003748904855456,0.0002734767040237,0.0,1.0,1.3708314895629885
86,26,12639,suppresses_cannot,-0.0003739917883649,0.0003739917883649,0.0003739917883649,0.0003484631015453,0.0,1.0,1.07326078414917
89,21,13085,suppresses_cannot,-0.0003686430572997,0.0003686430572997,0.0003686430572997,0.000341309729265,0.0,1.0,1.0800836086273191
92,31,11276,suppresses_cannot,-0.0003626847465056,0.0003626847465056,0.0003626847465056,0.0003376285312697,0.0,1.0,1.0742124319076538
93,12,1889,suppresses_cannot,-0.0003583581710699,0.0003583581710699,0.0003622711810749,0.0003126458614133,0.0206185560673475,0.9793814420700072,1.1462111473083496
94,20,10080,suppresses_cannot,-0.0003582134668249,0.0003582134668249,0.0003584555815905,0.0003382800496183,0.0051546390168368,0.9948453903198242,1.058925747871399
96,17,5245,suppresses_cannot,-0.0003524096973706,0.0003524096973706,0.0003524096973706,0.0002942470018751,0.0,1.0,1.1976662874221802
97,31,3611,suppresses_cannot,-0.0003476806450635,0.0003476806450635,0.0003476806450635,0.0003508025547489,0.0,1.0,0.9911006689071656
101,17,8517,suppresses_cannot,-0.0003385036834515,0.0003385036834515,0.0003385036834515,0.0003044039185624,0.0,1.0,1.1120214462280271
102,15,1832,suppresses_cannot,-0.0003363053838256,0.0003363053838256,0.0003363053838256,0.0003417809784878,0.0,1.0,0.9839792251586914
108,15,1026,suppresses_cannot,-0.0003292969195172,0.0003292969195172,0.0003297934308648,0.0012890255311504,0.0154639175161719,0.984536111354828,0.2554619014263153
110,27,4251,suppresses_cannot,-0.0003268177970312,0.0003268177970312,0.0003268177970312,0.0003313601773697,0.0,1.0,0.9862917065620422
112,27,11269,suppresses_cannot,-0.0003204576205462,0.0003204576205462,0.0003204576205462,0.0002851340686902,0.0,1.0,1.1238839626312256
115,16,14185,suppresses_cannot,-0.0003171766002196,0.0003171766002196,0.000318427075399,0.0002637088764458,0.0154639175161719,0.984536111354828,1.2027528285980225
119,31,10715,suppresses_cannot,-0.0003107617085333,0.0003107617085333,0.0003107617085333,0.0002888123854063,0.0,1.0,1.0759985446929932
120,22,9265,suppresses_cannot,-0.0003104464849457,0.0003104464849457,0.0003104464849457,0.0003124032809864,0.0,1.0,0.9937363266944884
121,15,630,suppresses_cannot,-0.0003101168258581,0.0003101168258581,0.0003101334150414,0.0003118980093859,0.0051546390168368,0.9948453903198242,0.994289219379425
122,17,9255,suppresses_cannot,-0.0003089877136517,0.0003089877136517,0.0003089877136517,0.000242288748268,0.0,1.0,1.27528715133667
127,18,9102,suppresses_cannot,-0.0003051020321436,0.0003051020321436,0.0003061823081225,0.0003433262463659,0.0051546390168368,0.9948453903198242,0.8886650204658508
